contig_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
contig-10000000,-5.72563214e+00,6.20849396e+00,-1.57883778e+00,-2.53845351e-01,-1.00117435e+00,9.08090095e-02,7.46567439e-01,2.92519275e-01,4.70226679e-01,3.04950743e-02,2.72966874e-01,-1.71410614e-01,2.20429383e-01,-4.01802571e-02,-1.27043491e-01,1.67109371e-01,-7.75011879e-01,1.43575182e-01,-5.78651608e-03,-9.54748297e-02,-2.07078765e-01,2.26357272e-01,-2.22023144e-01,-2.42506748e-01,-1.30449491e-01
contig-11000000,-5.92767435e+00,1.30340342e+00,-3.59589161e+00,-9.48589820e-03,2.45324549e-02,-1.39776124e-01,1.38464132e-01,1.67035654e-01,2.88483867e-01,2.56309729e-01,1.58900921e-01,-1.80899553e-01,-1.35402502e-01,-1.81993278e-02,1.83785414e-02,3.74039746e-01,2.52967808e-01,-5.20173162e-02,2.96174557e-01,2.19674427e-01,-1.20201243e-01,2.17124817e-01,2.79746136e-01,-2.11785107e-01,1.02277411e-01
contig-12000000,-5.88199211e+00,9.27775242e-01,-3.23707550e+00,1.91004671e-02,3.08079577e-01,5.22614033e-01,2.22044944e-01,-2.77772104e-01,-4.73907288e-01,1.62654891e-01,-3.22763855e-01,-5.28263654e-02,3.44592880e-01,5.42617178e-01,-1.22669857e-01,1.17892171e-01,4.29430428e-01,1.17431441e-01,-1.44581603e-01,-7.48921518e-02,2.71401089e-01,-1.99290348e-01,-5.87602280e-01,3.13221753e-01,-2.19396385e-01
contig-13000000,1.31182749e+01,3.52228866e-01,-4.35311415e+00,-2.19364988e-01,1.29862527e-02,-4.20986514e-01,1.13810360e-01,-3.71805783e-01,6.60907172e-01,-1.12037545e-01,-2.67772776e-02,-4.89978470e-01,4.78068014e-02,6.32487764e-01,-1.06342976e-01,-2.70021876e-01,3.49487495e-01,7.34528542e-01,-1.18973798e-01,1.77012277e-02,-4.28514590e-04,-1.91807599e-01,-5.55668809e-01,-3.38829774e-01,8.82502565e-02
contig-14000000,-5.74217315e+00,2.63699734e+00,-2.29773903e+00,-1.60199052e-01,-2.45247844e-01,3.98741475e-01,1.60423519e-01,-5.15866802e-01,-2.32986385e-01,8.99005711e-01,-5.95385455e-01,-7.33002934e-03,2.63692169e-01,9.42675365e-02,-1.69519197e-01,-3.10102145e-01,3.59523331e-01,3.34737331e-01,-1.44992170e-01,1.32655794e-01,2.49495388e-01,-1.37821297e-01,-2.93808346e-01,1.88675252e-01,2.75880431e-01
contig-15000000,-5.11540507e+00,3.95623401e+00,-1.11540153e+00,-4.70969886e-01,-9.76621645e-02,6.57248768e-01,-1.36895297e-01,-5.50209551e-01,-2.58583828e-01,9.76805970e-01,-6.04811219e-01,-4.80903400e-01,3.24474447e-01,8.67178911e-02,-1.39065088e-01,-1.03675583e-01,5.00579548e-01,5.66636694e-01,-2.91997227e-01,-2.19409338e-01,4.65780380e-01,-1.68113282e-01,-4.19754524e-01,3.56782717e-01,2.26953984e-01
contig-16000000,-4.72174841e+00,6.10445377e+00,1.06568287e-02,-4.52334960e-01,1.62484108e-01,5.82429902e-02,1.65213885e-02,-7.07904414e-03,-2.30682203e-01,5.07034771e-01,3.05727649e-01,2.78708001e-01,1.74501822e-01,-2.97292143e-01,7.62723324e-02,2.66531528e-01,-5.92750614e-01,3.79122505e-01,-3.76840128e-01,3.70172984e-02,1.29152186e-01,9.43890983e-02,-7.38275234e-02,1.44990290e-01,1.32807762e-01
contig-17000000,1.29211760e+01,4.95776817e+00,-8.51436800e-02,-1.00225197e+00,-5.44043650e-01,-7.89493243e-01,-1.02357739e+00,2.63201198e-01,-1.05653935e+00,5.91809866e-01,-1.07225265e+00,-5.91012083e-02,-2.20301035e-01,8.80959618e-02,-5.16288932e-01,-4.62806724e-01,-5.86003375e-02,-1.33947830e-01,-4.94109999e-01,-3.23386591e-01,3.80460485e-01,-1.93150189e-01,-1.61093308e-01,-3.67856960e-01,-1.28238627e-01
contig-18000000,1.36156703e+01,1.22503544e+00,-4.27751992e+00,-4.87813842e-01,-5.20063180e-01,-3.73104899e-01,-8.99356188e-01,2.35637826e-01,-2.13900740e-01,3.65711856e-01,-2.35559729e-01,-2.71719257e-02,-1.89603481e-01,6.64748921e-02,-3.95313799e-02,-2.53508733e-01,-2.90521059e-01,2.98013554e-01,-5.36241942e-01,-1.62702201e-02,1.16589595e-01,-6.54049477e-02,-2.67387327e-01,-2.68958432e-01,-3.21730272e-02
contig-19000000,-5.24561555e+00,4.71921400e+00,-1.60291160e+00,-3.67647758e-01,-2.60717841e-01,-6.61067346e-02,6.27605419e-01,-2.41672872e-01,1.91094841e-01,5.78324528e-01,5.16403029e-01,-1.50676367e-01,1.81920003e-01,-4.01263193e-01,8.07528135e-02,-1.42764122e-01,-4.67350898e-01,9.25310507e-02,1.89964167e-01,1.28607490e-01,-3.98762624e-02,1.91882172e-02,1.01680854e-01,7.58964895e-02,-1.29296855e-01
